Product Name,Over_All_Rating,Price,Date,Rating,Name,Comment
Review - Cava Pink Sculptor Jacket,,,9 Aug 2025,5,Neha Arora,"It’s a body-hugging jacket that’s perfect for the gym or casual wear. The material is soft, comfortable, and sweat-absorbing. I got it in black, which is a deep, true black. The only downside is that it tends to ride up when you lift your arm"
Review - Allen Solly Men Brown Solid Bomber Jacket,,,25 Aug 2023,5,Mauli Ajabe,Good product...????
